is_premium,is_mid,is_budget,location_score,is_spring,is_active_market,location_size_interaction,price_per_sqm,location_code,unit_price_py,is_modern,land_area_sqm,building_age,is_gangnam,market_activity,location_score_sq,price_per_sqm_sqrt,cluster_id,cluster_avg_price,cluster_price_std,price_quartile,location_quartile,gangnam_modern,location_premium
0,1,0,70.0,0,1,6.74884,988142.2924901184,0.0,3266586.090876425,0,1012.0,11,0,43,4900.0,994.0539686003565,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,1,1,1.848,990308.183906832,0.0,3273746.062501924,1,757.3399999999999,10,0,43,4900.0,995.1427957367887,0,1379386778.982379,1152692162.284876,1,0,0,0.0
0,1,0,70.0,0,1,6.93,959595.9595959596,0.0,3172218.048251106,0,990.0,34,0,43,4900.0,979.590199826417,0,1379386778.982379,1152692162.284876,1,1,0,0.0
0,1,0,70.0,0,1,7.29953,787878.7878787878,0.0,2604557.976458803,0,1650.0,12,0,6,4900.0,887.6259278991279,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,1,0,70.0,0,1,4.095,235854.6053405481,0.0,779684.6457538782,0,3400.4,47,0,6,4900.0,485.6496734690018,0,1379386778.982379,1152692162.284876,1,2,0,0.0
0,0,1,70.0,1,1,4.095,241319.2116905752,0.0,797749.4601341328,0,2237.7,47,0,6,4900.0,491.2435360293051,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,0,1,70.0,0,1,2.401,337154.4167228591,0.0,1114560.0552821788,0,1483.0,24,0,6,4900.0,580.6508561285854,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,3.6021300000000003,453172.2054380665,0.0,1498089.9353324512,0,1655.0,30,0,6,4900.0,673.1814060400558,0,1379386778.982379,1152692162.284876,1,1,0,0.0
1,0,0,70.0,0,1,13.24771,597080.9376382132,0.0,1973821.2814486388,0,4522.0,31,0,6,4900.0,772.7107723063094,0,1379386778.982379,1152692162.284876,3,3,0,0.7
0,0,1,70.0,0,1,1.7206,604594.9214026602,0.0,1998660.8971988768,0,827.0,31,0,5,4900.0,777.5576643585093,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,0,1,5.6616,286115.6291586574,0.0,945836.790607132,0,6763.0,22,0,5,4900.0,534.8987092512539,0,1379386778.982379,1152692162.284876,2,3,0,0.0
0,0,1,70.0,0,1,0.938,453781.512605042,0.0,1500104.1739009651,0,952.0,19,0,5,4900.0,673.6338119520442,0,1379386778.982379,1152692162.284876,0,0,0,0.0
0,1,0,70.0,1,1,1.36675,752688.1720430107,0.0,2488225.362125655,0,1395.0,17,0,5,4900.0,867.5766087458852,0,1379386778.982379,1152692162.284876,1,1,0,0.0
